City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,La Rioja,ES,42.25,-2.5,36.48,95,100,10.8,overcast clouds
220,Yangambi,CD,0.8102,24.4336,71.56,92,100,1.57,overcast clouds
221,Seddon,AU,-37.8068,144.8916,84.88,46,0,10.0,clear sky
222,Puerto Escondido,MX,15.85,-97.0667,77.74,77,0,4.32,clear sky
223,Naqadeh,IR,36.9553,45.388,40.6,73,70,2.73,broken clouds
224,Prijepolje,RS,43.3719,19.6406,37.04,100,100,0.65,overcast clouds
225,Freetown,SL,8.484,-13.2299,79.38,79,92,1.63,overcast clouds
226,Tabuk,PH,17.4189,121.4443,77.76,69,62,6.51,broken clouds
227,Lasa,IT,46.6166,10.7002,22.37,93,90,6.49,overcast clouds
228,Poum,NC,-20.2333,164.0167,81.63,73,25,13.24,scattered clouds
229,Sibu,MY,2.3,111.8167,75.24,97,100,0.51,overcast clouds
230,Santa Maria,BR,-29.6842,-53.8069,61.61,95,4,4.32,clear sky
231,Burayevo,RU,55.8407,55.4083,12.16,78,63,7.92,broken clouds
232,San Jeronimo,PE,-11.9472,-75.2829,49.89,87,100,0.49,overcast clouds
233,Kutum,SD,14.2,24.6667,59.9,23,2,5.82,clear sky
234,Baracoa,CU,20.3467,-74.4958,77.79,87,81,8.08,broken clouds
235,Salme,NP,28.0369,85.0942,61.68,38,1,5.28,clear sky
236,Mareeba,AU,-17.0,145.4333,93.43,42,8,9.22,clear sky
237,Aykhal,RU,66.0,111.5,-24.59,96,83,8.28,broken clouds
238,Bambous Virieux,MU,-20.3428,57.7575,81.21,74,40,12.66,scattered clouds
239,Hanko,FI,59.8333,22.95,6.85,87,79,13.94,broken clouds
240,Galle,LK,6.0367,80.217,83.12,72,59,4.16,broken clouds
241,Tateyama,JP,34.9833,139.8667,55.02,72,100,12.3,light rain
242,Port Keats,AU,-14.25,129.55,91.94,54,96,8.77,overcast clouds
243,Kotido,UG,2.9806,34.1331,71.55,59,82,12.33,broken clouds
244,Bredasdorp,ZA,-34.5322,20.0403,58.28,91,100,7.52,light rain
245,Port Lincoln,AU,-34.7333,135.8667,67.51,56,46,15.82,scattered clouds
246,Abu Dhabi,AE,24.4667,54.3667,71.96,82,2,1.99,clear sky
247,Sena Madureira,BR,-9.0656,-68.6569,71.82,99,100,2.17,overcast clouds
248,Chekhov,RU,55.1431,37.4711,26.83,96,100,3.71,overcast clouds
249,Kiruna,SE,67.8557,20.2251,-25.37,99,37,2.33,scattered clouds
250,Chapais,CA,49.7834,-74.8492,6.64,93,100,5.28,overcast clouds
251,Garowe,SO,8.4054,48.4845,70.92,58,11,9.06,few clouds
252,Qasigiannguit,GL,68.8193,-51.1922,21.67,61,87,21.18,overcast clouds
253,Krasnoarmeysk,RU,51.0239,45.6969,23.29,85,100,10.0,overcast clouds
254,Avera,US,33.194,-82.5271,57.7,79,34,6.33,scattered clouds
255,Price,US,39.5994,-110.8107,39.42,52,38,5.46,scattered clouds
256,Coos Bay,US,43.3665,-124.2179,47.01,97,1,0.0,clear sky
257,Iqaluit,CA,63.7506,-68.5145,11.93,61,90,18.99,light snow
258,Glamoc,BA,44.0458,16.8486,31.6,98,100,4.85,overcast clouds
259,Sao Filipe,CV,14.8961,-24.4956,75.47,72,64,11.63,broken clouds
260,Khatanga,RU,71.9667,102.5,-13.29,97,100,7.47,overcast clouds
261,Neiafu,TO,-18.65,-173.9833,81.28,78,40,11.5,scattered clouds
262,Kamaishi,JP,39.2667,141.8833,50.81,69,39,11.72,light rain
263,Ribeira Grande,PT,38.5167,-28.7,63.77,71,83,10.51,broken clouds
264,Ponta Do Sol,PT,32.6667,-17.1,65.03,64,17,9.24,few clouds
265,Megion,RU,61.0296,76.1136,-8.99,100,82,5.39,broken clouds
266,Cidreira,BR,-30.1811,-50.2056,69.28,86,73,12.3,broken clouds
267,Katsuura,JP,35.1333,140.3,55.11,68,100,7.65,light rain
268,Cabo San Lucas,MX,22.8909,-109.9124,76.51,72,100,5.12,overcast clouds
269,Galveston,US,29.3669,-94.9669,75.38,94,40,5.99,scattered clouds
270,Juneau,US,58.3019,-134.4197,28.45,94,90,8.05,light snow
271,Ilulissat,GL,69.2167,-51.1,17.38,67,90,14.52,overcast clouds
272,Sitangkai,PH,4.6628,119.3928,81.77,73,67,5.95,broken clouds
273,Chabahar,IR,25.2919,60.643,74.95,43,20,4.16,few clouds
274,Moussoro,TD,13.6408,16.4901,69.66,20,55,11.5,broken clouds
275,Agadez,NE,19.75,10.25,57.42,23,21,4.7,few clouds
276,Chimbote,PE,-9.0853,-78.5783,65.46,88,100,6.55,overcast clouds
277,Ust-Karsk,RU,52.7011,118.8077,18.73,75,50,6.78,scattered clouds
