City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Darnah,LY,58.96,clear sky,32.767,22.6367,فندق الفردوس
657,Sinnamary,GF,76.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
658,Benito Juarez,MX,60.01,scattered clouds,19.385,-99.165,Hotel Novit
659,Tevaitoa,PF,80.55,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
660,Buraydah,SA,59.45,scattered clouds,26.326,43.975,فندق راحة السلام
661,Ierapetra,GR,60.98,few clouds,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
662,Mayo,US,49.28,broken clouds,38.8876,-76.5119,Resorts Resource Group International
663,Luanda,AO,76.96,overcast clouds,-8.8368,13.2343,Hotel Fórum
664,Babu,CN,69.91,scattered clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
665,Puerto Baquerizo Moreno,EC,67.24,broken clouds,-0.9,-89.6,Hotel los Algarrobos
666,Kushiro,JP,42.21,clear sky,42.975,144.3747,Toyoko Inn Kushiro Jujigai
667,Rio Grande,BR,63.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
669,Monte Gordo,PT,51.75,clear sky,37.1819,-7.4523,Alcazar Hotel & Spa
670,Ternate,ID,83.52,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
671,Buchanan,LR,77.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
672,Itarema,BR,80.8,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
673,Visby,SE,25.05,broken clouds,57.6409,18.296,Best Western Solhem Hotel Visby
674,Muscat,OM,75.22,clear sky,23.6139,58.5922,Mutrah Hotel
675,Clyde River,CA,10.63,light snow,70.4692,-68.5914,Qamaq Hotel
676,Ashcroft,CA,30.47,overcast clouds,50.7165,-121.2859,Ashcroft Apartments Motel
677,Lawrenceville,US,58.98,overcast clouds,33.9562,-83.988,"Holiday Inn Express & Suites Lawrenceville, an IHG Hotel"
678,Nishihara,JP,74.86,scattered clouds,26.1842,127.7558,Minshuku Agaihama
679,San Quintin,MX,58.53,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
680,Jiwani,PK,75.99,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
681,Oakdale,US,30.15,light snow,44.963,-92.9649,Hilton Garden Inn St. Paul/Oakdale
682,Ilanskiy,RU,30.92,overcast clouds,56.2358,96.065,"Gostinitsa ""Berezka"""
684,Vestmannaeyjar,IS,43.16,few clouds,63.4427,-20.2734,Glamping & Camping
685,Malanje,AO,62.96,overcast clouds,-9.5402,16.341,Malanje Hotel
687,Penha,BR,68.72,overcast clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
688,Akonolinga,CM,67.89,overcast clouds,3.7667,12.25,Le Diamant De Mireille
689,Havoysund,NO,27.48,snow,70.9963,24.6622,Arctic View Glamping & Restaurant
